,cgpa,package
0,6.89,3.26
1,5.12,1.98
2,7.82,3.25
3,7.42,3.67
4,6.94,3.57
5,7.89,2.99
6,6.73,2.6
7,6.75,2.48
8,6.09,2.31
9,8.31,3.51
10,5.32,1.86
11,6.61,2.6
12,8.94,3.65
13,6.93,2.89
14,7.73,3.42
15,7.25,3.23
16,6.84,2.35
17,5.38,2.09
18,6.94,2.98
19,7.48,2.83
20,7.28,3.16
21,6.85,2.93
22,6.14,2.3
23,6.19,2.48
24,6.53,2.71
25,7.28,3.65
26,8.31,3.42
27,5.42,2.16
28,5.94,2.24
29,7.15,3.49
30,7.36,3.26
31,8.1,3.89
32,6.96,3.08
33,6.35,2.73
34,7.34,3.42
35,6.87,2.87
36,5.99,2.84
37,5.9,2.43
38,8.62,4.36
39,7.43,3.33
40,9.38,4.02
41,6.89,2.7
42,5.95,2.54
43,7.66,2.76
44,5.09,1.86
45,7.87,3.58
46,6.07,2.26
47,5.84,3.26
48,8.63,4.09
49,8.87,4.62
50,9.58,4.43
51,9.26,3.79
52,8.37,4.11
53,6.47,2.61
54,6.86,3.09
55,8.2,3.39
56,5.84,2.74
57,6.6,1.94
58,6.92,3.09
59,7.56,3.31
60,5.61,2.19
61,5.48,1.61
62,6.34,2.09
63,9.16,4.25
64,7.36,2.92
65,7.6,3.81
66,5.11,1.63
67,6.51,2.89
68,7.56,2.99
69,7.3,2.94
70,5.79,2.35
71,7.47,3.34
72,7.78,3.62
73,8.44,4.03
74,6.85,3.44
75,6.97,3.28
76,6.94,3.15
77,8.99,4.6
78,6.59,2.21
79,7.18,3.0
80,7.63,3.44
81,6.1,2.2
82,5.58,2.17
83,8.44,3.49
84,4.26,1.53
85,4.79,1.48
86,7.61,2.77
87,8.09,3.55
88,4.73,1.48
89,6.42,2.72
90,7.11,2.66
91,6.22,2.14
92,7.9,4.0
93,6.79,3.08
94,5.83,2.42
95,6.63,2.79
96,7.11,2.61
97,5.98,2.84
98,7.69,3.83
99,6.61,3.24
100,7.95,4.14
101,6.71,3.52
102,5.13,1.37
103,7.05,3.0
104,7.62,3.74
105,6.66,2.82
106,6.13,2.19
107,6.33,2.59
108,7.76,3.54
109,7.77,4.06
110,8.18,3.76
111,5.42,2.25
112,8.58,4.1
113,6.94,2.37
114,5.84,1.87
115,8.35,4.21
116,9.04,3.33
117,7.12,2.99
118,7.4,2.88
119,7.39,2.65
120,5.23,1.73
121,6.5,3.02
122,5.12,2.01
123,5.1,2.3
124,6.06,2.31
125,7.33,3.16
126,5.91,2.6
127,6.78,3.11
128,7.93,3.34
129,7.29,3.12
130,6.68,2.49
131,6.37,2.01
132,5.84,2.48
133,6.05,2.58
134,7.2,2.83
135,6.1,2.6
136,5.64,2.1
137,7.14,3.13
138,7.91,3.89
139,7.19,2.4
140,7.91,3.15
141,6.76,3.18
142,6.93,3.04
143,4.85,1.54
144,6.17,2.42
145,5.84,2.18
146,6.07,2.46
147,5.66,2.21
148,7.57,3.4
149,8.28,3.67
150,6.3,2.73
151,6.12,2.76
152,7.37,3.08
153,7.94,3.99
154,7.08,2.85
155,6.98,3.09
156,7.38,3.13
157,6.47,2.7
158,5.95,3.04
159,8.71,4.08
160,7.13,2.93
161,7.3,3.33
162,5.53,2.55
163,8.93,3.91
164,9.06,3.82
165,8.21,4.08
166,8.6,3.98
167,8.13,3.6
168,8.65,3.52
169,9.31,4.37
170,6.22,2.87
171,8.01,3.76
172,6.93,2.51
173,6.75,2.56
174,7.32,2.99
175,7.04,3.5
176,6.29,3.23
177,7.09,3.64
178,8.15,3.63
179,7.14,3.03
180,6.19,2.72
181,8.22,3.89
182,5.88,2.08
183,7.28,2.72
184,7.88,3.14
185,6.31,3.18
186,7.84,3.47
187,6.26,2.44
188,7.35,3.08
189,8.11,4.06
190,6.19,2.69
191,7.28,3.48
192,8.25,3.75
193,4.57,1.94
194,7.89,3.67
195,6.93,2.46
196,5.89,2.57
197,7.21,3.24
198,7.63,3.96
199,6.22,2.33
